gmb,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Id,area_sqm,DIST_NEAR_MANGROVE
420,-0.09000000357627869,-0.09000000357627869,3703.0,0.7760000228881836,9.640999794006348,8.069000244140625,24.729000091552734,83.0459976196289,0.2029999941587448,0.0,0.09300000220537186,0.0,-0.09000000357627869,0.0,0.27799999713897705,0.27799999713897705,0.7639999985694885,0.2590000033378601,0.2590000033378601,0.09300000220537186,0.0,4.0,66.87000274658203,866.0549926757812,26.16789436340332,5.699999809265137,9.014549255371094,1097.06201171875,1120817,1848.7615263187295,102.78812102206801
421,-0.18000000715255737,-0.18000000715255737,3703.0,0.8420000076293945,9.569999694824219,8.08899974822998,24.722999572753906,83.03399658203125,0.1289999932050705,0.0,0.09300000220537186,-0.09000000357627869,-0.18000000715255737,0.0,0.27799999713897705,0.27799999713897705,0.7900000214576721,0.20600000023841858,0.2930000126361847,0.1289999932050705,0.0,5.0,71.08999633789062,866.885009765625,26.16901969909668,5.699999809265137,15.474464416503906,1096.988037109375,1120818,924.3807624754282,97.8549542090834
422,-0.2590000033378601,-0.2590000033378601,3703.0,0.9110000133514404,9.498000144958496,8.109999656677246,24.718000411987305,83.02100372314453,0.09300000220537186,0.0,0.1289999932050705,-0.1289999932050705,-0.2590000033378601,0.0,0.2930000126361847,0.2930000126361847,0.824999988079071,0.1860000044107437,0.3319999873638153,0.1860000044107437,0.0,6.0,72.80750274658203,866.9550170898438,26.168270111083984,5.764999866485596,15.474464416503906,1096.9139404296875,1120819,924.3807627531442,17.857848023518002
423,0.18000000715255737,0.18000000715255737,4213.0,0.49799999594688416,7.005000114440918,5.571000099182129,25.785999298095703,84.61000061035156,-0.20600000023841858,0.3319999873638153,7.760000228881836,0.18000000715255737,0.2029999941587448,0.0,0.5370000004768372,0.5370000004768372,1.7170000076293945,0.6629999876022339,2.062999963760376,0.6470000147819519,0.0,6.0,6.5,841.0499877929688,26.593852996826172,0.0,3.975024938583374,1103.791015625,1121021,924.3818088350981,17.716142133444436
424,-0.09000000357627869,-0.09000000357627869,3703.0,0.7760000228881836,9.640999794006348,8.069000244140625,24.729000091552734,83.0459976196289,0.2029999941587448,0.0,0.09300000220537186,0.0,-0.09000000357627869,0.0,0.27799999713897705,0.27799999713897705,0.7639999985694885,0.2590000033378601,0.2590000033378601,0.09300000220537186,0.0,4.0,66.87000274658203,866.0549926757812,26.16789436340332,5.699999809265137,9.014549255371094,1097.06201171875,1121022,924.3818089655299,73.20313764970044
425,-0.2590000033378601,-0.2590000033378601,3703.0,0.9110000133514404,9.498000144958496,8.109999656677246,24.718000411987305,83.02100372314453,0.09300000220537186,0.0,0.1289999932050705,-0.1289999932050705,-0.2590000033378601,0.0,0.2930000126361847,0.2930000126361847,0.824999988079071,0.1860000044107437,0.3319999873638153,0.1860000044107437,0.0,6.0,72.80750274658203,866.9550170898438,26.168270111083984,5.764999866485596,15.474464416503906,1096.9139404296875,1121023,924.381808629581,59.74424050509691
426,-0.3319999873638153,-0.3319999873638153,3703.0,1.059999942779541,9.357000350952148,8.154000282287598,24.70800018310547,82.99600219726562,0.09300000220537186,0.0,0.09000000357627869,-0.2590000033378601,-0.3319999873638153,0.0,0.3880000114440918,0.3880000114440918,0.7429999709129333,0.2590000033378601,0.4560000002384186,0.2590000033378601,0.0,5.0,71.23750305175781,865.5750122070312,26.163021087646484,6.025000095367432,15.474464416503906,1096.7659912109375,1121024,6470.664245055027,12.396689853170159
427,0.09000000357627869,0.09000000357627869,4213.0,0.47200000286102295,7.015999794006348,5.59499979019165,25.797000885009766,84.63099670410156,-0.1850000023841858,0.2930000126361847,7.849999904632568,0.09000000357627869,0.1289999932050705,0.0,0.5879999995231628,0.5879999995231628,1.8020000457763672,0.6190000176429749,2.0250000953674316,0.5839999914169312,0.0,4.0,6.300000190734863,841.0900268554688,26.60106086730957,0.0,3.975024938583374,1103.864990234375,1121229,924.3828508643783,60.30660773586363
428,0.0,0.0,3703.0,0.6190000176429749,9.769000053405762,8.015999794006348,24.74799919128418,83.08599853515625,0.27000001072883606,0.0,0.09300000220537186,0.0,0.0,0.0,0.1289999932050705,0.1289999932050705,0.7419999837875366,0.1289999932050705,0.1289999932050705,0.09000000357627869,0.0,4.0,54.209999084472656,863.5650024414062,26.164520263671875,5.699999809265137,9.014549255371094,1097.282958984375,1121230,924.3828515681525,-22.743253744872394
429,0.09000000357627869,0.09000000357627869,3703.0,0.6629999876022339,9.78499984741211,8.032999992370605,24.742000579833984,83.0719985961914,0.3610000014305115,0.0,0.09300000220537186,0.09000000357627869,0.09000000357627869,0.0,0.2029999941587448,0.2029999941587448,0.7419999837875366,0.2029999941587448,0.1860000044107437,0.09300000220537186,0.0,4.0,58.43000030517578,864.39501953125,26.165645599365234,5.699999809265137,9.014549255371094,1097.208984375,1121231,1848.7646595423687,-32.68183011545169
430,0.0,0.0,3703.0,0.7160000205039978,9.713000297546387,8.050999641418457,24.735000610351562,83.05899810791016,0.28600001335144043,0.0,0.09300000220537186,0.0,0.0,0.0,0.27799999713897705,0.27799999713897705,0.7480000257492065,0.28600001335144043,0.20600000023841858,0.09300000220537186,0.0,4.0,62.650001525878906,865.2249755859375,26.16676902770996,5.699999809265137,9.014549255371094,1097.135986328125,1121232,924.3828503594857,-12.188387645451746
431,0.0,0.0,3703.0,0.7160000205039978,9.713000297546387,8.050999641418457,24.735000610351562,83.05899810791016,0.28600001335144043,0.0,0.09300000220537186,0.0,0.0,0.0,0.27799999713897705,0.27799999713897705,0.7480000257492065,0.28600001335144043,0.20600000023841858,0.09300000220537186,0.0,4.0,62.650001525878906,865.2249755859375,26.16676902770996,5.699999809265137,9.014549255371094,1097.135986328125,1121233,924.38285083394,42.471352986950144
