VillageID,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Population,DIST_TO_MANGROVE,Population_1,VillageID_1,DIST_TO_MANGROVE_1,area_sqm,log_population
2,0.9459999799728394,0.9459999799728394,0.0,0.6629999876022339,4.692999839782715,6.290999889373779,20.177000045776367,342.8370056152344,0.0,2.134000062942505,3.9200000762939453,0.9459999799728394,1.809000015258789,0.0,0.2750000059604645,0.2750000059604645,1.9670000076293945,10.352999687194824,0.3319999873638153,8.329000473022461,1.0,9.0,308.6499938964844,3302.465087890625,27.606395721435547,169.3699951171875,0.050629258155822754,546.718994140625,200,-126.94353118652735,200,2,-126.94353118652735,1876.919368,5.298317366548036
3,0.0,0.0,0.0,3.4700000286102295,5.190999984741211,6.703000068664551,18.663999557495117,345.62701416015625,-0.09200000017881393,2.4690001010894775,6.696000099182129,0.0,1.128000020980835,0.0,0.18299999833106995,0.18299999833106995,1.1169999837875366,11.215999603271484,0.28999999165534973,8.5600004196167,2.0,4.0,209.35000610351562,3262.699951171875,27.58906364440918,142.78750610351562,0.027746237814426422,544.0180053710938,270,-45.30373043560271,270,3,-45.30373043560271,7507.932577,5.598421958998375
4,0.09300000220537186,0.09300000220537186,0.0,4.369999885559082,6.869999885559082,4.482999801635742,10.96500015258789,351.5419921875,0.1860000044107437,6.511000156402588,6.9120001792907715,0.09300000220537186,2.0329999923706055,0.0,0.0,0.0,0.1860000044107437,14.293999671936035,0.3319999873638153,10.1899995803833,2.0,7.0,172.60000610351562,3190.35009765625,27.39083480834961,116.0,0.03679670765995979,540.6530151367188,500,198.85352225743014,500,4,198.85352225743014,0.0,6.214608098422191
5,0.0,0.0,0.0,4.046000003814697,6.203000068664551,7.313000202178955,17.545000076293945,346.1709899902344,0.0,2.2070000171661377,7.0920000076293945,0.0,0.0,0.0,0.18299999833106995,0.18299999833106995,0.20499999821186066,12.343999862670898,0.49399998784065247,8.996999740600586,3.0,12.0,187.85000610351562,3259.449951171875,27.580833435058594,142.51499938964844,0.015194711275398731,543.8880004882812,300,113.57752556659035,300,5,113.57752556659035,8446.667623,5.703782474656201
8,0.09200000017881393,0.09200000017881393,0.0,1.2799999713897705,1.9869999885559082,4.197000026702881,16.652000427246094,383.2309875488281,0.0,4.431000232696533,18.2549991607666,0.09200000017881393,0.20600000023841858,0.0,0.38199999928474426,0.38199999928474426,0.09200000017881393,3.763000011444092,2.7880001068115234,2.359999895095825,2.0,11.0,234.6875,2934.6875,26.673437118530273,47.0625,0.12588638067245483,521.7440185546875,700,-8.841258191444494,700,8,-8.841258191444494,17849.864783,6.551080335043404
9,0.09200000017881393,0.09200000017881393,0.0,0.09300000220537186,0.0,1.8550000190734863,18.43899917602539,380.10198974609375,0.20600000023841858,2.686000108718872,14.871000289916992,1.1100000143051147,0.09200000017881393,0.0,0.7950000166893005,0.7950000166893005,2.4809999465942383,3.3919999599456787,5.804999828338623,2.700000047683716,2.0,25.0,285.8500061035156,2960.737548828125,26.733543395996094,33.95000076293945,0.11395470798015594,523.6729736328125,386,268.9599652066394,386,9,268.9599652066394,0.0,5.955837369464831
10,0.0,0.0,0.0,0.1860000044107437,0.3319999873638153,7.857999801635742,12.62600040435791,392.364013671875,0.0,8.001999855041504,18.368999481201172,0.0,0.09300000220537186,0.0,0.09200000017881393,0.09200000017881393,0.26100000739097595,10.906999588012695,0.26100000739097595,0.2070000022649765,4.0,15.0,229.16250610351562,2909.91259765625,26.464584350585938,42.17499923706055,0.09309892356395721,514.7849731445312,300,134.74949736084594,300,10,134.74949736084594,5637.766986,5.703782474656201
11,0.0,0.0,0.0,0.0,0.2750000059604645,7.861000061035156,11.96500015258789,392.864990234375,0.12999999523162842,8.305999755859375,18.80900001525879,0.7419999837875366,0.0,0.0,0.3319999873638153,0.3319999873638153,0.46799999475479126,10.53499984741211,0.8790000081062317,0.09200000017881393,1.0,26.0,233.81500244140625,2912.89990234375,26.433460235595703,31.204999923706055,0.09190535545349121,514.6430053710938,300,175.41287736112398,300,11,175.41287736112398,0.0,5.703782474656201
19,0.09200000017881393,0.09200000017881393,0.0,1.4119999408721924,1.0740000009536743,7.138999938964844,7.679999828338623,442.82598876953125,-0.367000013589859,2.9079999923706055,58.42399978637695,0.09200000017881393,0.09300000220537186,0.0,0.4729999899864197,0.4729999899864197,5.059000015258789,26.461999893188477,0.6430000066757202,9.640000343322754,2.0,14.0,295.13250732421875,3001.050048828125,26.29947853088379,152.6999969482422,0.03023156337440014,482.98199462890625,773,104.98909419340352,773,19,104.98909419340352,15990.345451,6.650279048587422
20,0.5389999747276306,0.5389999747276306,0.0,0.8399999737739563,0.8349999785423279,5.5289998054504395,4.59499979019165,431.47100830078125,-0.09300000220537186,1.4429999589920044,50.28900146484375,0.5389999747276306,2.249000072479248,0.0,0.2750000059604645,0.2750000059604645,0.367000013589859,16.68000030517578,2.1519999504089355,3.7850000858306885,0.0,0.0,213.6699981689453,3006.14990234375,26.310001373291016,77.19999694824219,0.06880614906549454,492.4939880371094,100,100.30554579715975,100,20,100.30554579715975,0.0,4.605170185988092
23,0.09200000017881393,0.09200000017881393,0.0,1.5880000591278076,2.243000030517578,5.570000171661377,4.86899995803833,449.02099609375,0.09300000220537186,6.109000205993652,72.44200134277344,0.09200000017881393,3.5940001010894775,0.0,0.18400000035762787,0.18400000035762787,0.12999999523162842,36.97200012207031,2.305000066757202,3.7850000858306885,0.0,6.0,196.0,3105.39990234375,26.25,149.0,0.031132593750953674,487.8240051269531,400,-49.43223251427621,400,23,-49.43223251427621,6586.352745,5.991464547107982
21,0.09300000220537186,0.09300000220537186,0.0,-0.09300000220537186,1.6629999876022339,6.742000102996826,6.829999923706055,413.3420104980469,0.3319999873638153,1.7699999809265137,41.31800079345703,0.09300000220537186,0.09300000220537186,0.0,0.2070000022649765,0.2070000022649765,0.3330000042915344,2.069000005722046,1.6460000276565552,0.0,2.0,20.0,50.537498474121094,3012.425048828125,26.143747329711914,14.212499618530273,0.06994382292032242,508.33099365234375,1000,107.09510616824399,1000,21,107.09510616824399,5641.362815,6.907755278982137
