sle,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Id,area_sqm,DIST_TO_MANGROVE
1,0.0,0.0,0.0,0.3659999966621399,0.0,0.09300000220537186,14.770999908447266,363.0929870605469,2.6410000324249268,3.4600000381469727,7.515999794006348,0.7390000224113464,0.0,0.0,0.4580000042915344,0.4580000042915344,29.60099983215332,4.585000038146973,0.09200000017881393,2.374000072479248,3.0,14.0,213.5,3053.074951171875,27.424270629882812,97.98750305175781,0.025644952431321144,518.198974609375,5219131,1876.3690367145864,32.49400547443284
2,0.0,0.0,0.0,0.3659999966621399,0.0,0.09300000220537186,14.770999908447266,363.0929870605469,2.6410000324249268,3.4600000381469727,7.515999794006348,0.7390000224113464,0.0,0.0,0.4580000042915344,0.4580000042915344,29.60099983215332,4.585000038146973,0.09200000017881393,2.374000072479248,3.0,14.0,213.5,3053.074951171875,27.424270629882812,97.98750305175781,0.025644952431321144,518.198974609375,5219462,938.1859353716648,66.9980239739981
3,0.09200000017881393,0.09200000017881393,0.0,0.1850000023841858,0.2070000022649765,-0.09300000220537186,14.192000389099121,362.6090087890625,2.236999988555908,3.9230000972747803,7.348999977111816,0.09200000017881393,0.12999999523162842,0.0,0.09300000220537186,0.09300000220537186,29.05699920654297,5.084000110626221,0.09300000220537186,2.622999906539917,3.0,9.0,204.25,3061.050048828125,27.445520401000977,99.51249694824219,0.040240172296762466,518.7780151367188,5219816,1876.3739951887794,124.06995347645574
4,0.0,0.0,0.0,0.0,0.46399998664855957,0.7210000157356262,14.329000473022461,342.8380126953125,0.09300000220537186,4.320000171661377,13.392000198364258,0.0,0.550000011920929,0.0,3.0950000286102295,3.0950000286102295,11.045000076293945,4.672999858856201,0.828000009059906,0.0,2.0,16.0,439.11248779296875,3343.070068359375,27.902748107910156,168.70750427246094,0.04345276951789856,541.9910278320312,5225895,7505.677160115587,92.88843579252267
5,0.09300000220537186,0.09300000220537186,0.0,0.09300000220537186,1.6920000314712524,3.938999891281128,22.743999481201172,335.58599853515625,0.0,6.505000114440918,7.119999885559082,0.09300000220537186,0.26100000739097595,0.0,2.4189999103546143,2.4189999103546143,3.739000082015991,4.926000118255615,0.414000004529953,0.3659999966621399,1.0,12.0,272.9775085449219,3384.2451171875,27.980728149414062,194.3074951171875,0.008729762397706509,550.7730102539062,5228640,938.2205970988673,88.82221156046202
6,0.09300000220537186,0.09300000220537186,0.0,0.09300000220537186,1.6799999475479126,3.8469998836517334,22.656999588012695,335.65899658203125,0.0,6.5370001792907715,7.14900016784668,0.09300000220537186,0.20499999821186066,0.0,2.4140000343322754,2.4140000343322754,3.819999933242798,4.835999965667725,0.38199999928474426,0.4580000042915344,3.0,9.0,276.24249267578125,3384.9150390625,27.980937957763672,192.05250549316406,0.03270753100514412,550.6859741210938,5229033,1876.4440235611937,125.29934301998502
7,0.1850000023841858,0.1850000023841858,0.0,0.1850000023841858,1.784000039100647,3.938999891281128,22.716999053955078,335.6419982910156,-0.09300000220537186,6.418000221252441,7.0320000648498535,0.1850000023841858,0.20499999821186066,0.0,2.3259999752044678,2.3259999752044678,3.7839999198913574,4.9120001792907715,0.3330000042915344,0.3779999911785126,2.0,14.0,281.5924987792969,3383.715087890625,27.978853225708008,196.70249938964844,0.008729762397706509,550.7459716796875,5229230,1876.4454358480598,-3.345998393516534
8,0.18299999833106995,0.18299999833106995,0.0,0.18299999833106995,1.7719999551773071,3.8469998836517334,22.628999710083008,335.7149963378906,-0.09200000017881393,6.449999809265137,7.060999870300293,0.18299999833106995,0.18299999833106995,0.0,2.321000099182129,2.321000099182129,3.864000082015991,4.821000099182129,0.2930000126361847,0.46700000762939453,1.0,15.0,284.947509765625,3384.405029296875,27.97947883605957,194.21749877929688,0.03270753100514412,550.6580200195312,5229658,1876.4482621774246,55.8935848142111
9,0.09200000017881393,0.09200000017881393,0.0,0.2930000126361847,1.8910000324249268,4.031000137329102,22.777999877929688,335.6239929199219,-0.1850000023841858,6.300000190734863,6.914999961853027,0.20499999821186066,0.09200000017881393,0.0,2.243000030517578,2.243000030517578,3.752000093460083,4.988999843597412,0.27799999713897705,0.3319999873638153,2.0,9.0,287.1625061035156,3383.324951171875,27.97624969482422,199.46249389648438,0.030980421230196953,550.8060302734375,5230085,938.2255437740076,57.111832038094185
10,0.09300000220537186,0.09300000220537186,0.0,0.18299999833106995,1.8639999628067017,3.8469998836517334,22.601999282836914,335.77099609375,-0.09200000017881393,6.363999843597412,6.9730000495910645,0.09300000220537186,0.20499999821186066,0.0,2.2279999256134033,2.2279999256134033,3.9089999198913574,4.808000087738037,0.2070000022649765,0.46399998664855957,1.0,14.0,294.052490234375,3384.5849609375,27.977916717529297,194.59249877929688,0.012884414754807949,550.6309814453125,5230086,938.2255435103139,17.05347393014784
11,0.09200000017881393,0.09200000017881393,0.0,0.09200000017881393,1.8580000400543213,3.75600004196167,22.514999389648438,335.843994140625,0.0,6.396999835968018,7.004000186920166,0.09200000017881393,0.12999999523162842,0.0,2.2260000705718994,2.2260000705718994,3.989000082015991,4.7170000076293945,0.1860000044107437,0.4620000123977661,2.0,12.0,297.49749755859375,3385.215087890625,27.978750228881836,192.15750122070312,0.012884414754807949,550.5430297851562,5230294,938.2262516131943,47.59198969446696
12,-0.09200000017881393,-0.09200000017881393,0.0,0.0,0.20499999821186066,0.09300000220537186,8.675000190734863,359.0509948730469,0.49900001287460327,8.484000205993652,7.185999870300293,0.12999999523162842,-0.09200000017881393,0.0,3.7780001163482666,3.7780001163482666,23.676000595092773,7.616000175476074,0.0,2.2160000801086426,3.0,12.0,351.24749755859375,3104.56494140625,27.44647979736328,118.55750274658203,0.02417723648250103,523.4749755859375,5231669,1876.4616887748336,116.7874073821656
13,0.09200000017881393,0.09200000017881393,0.0,-0.4580000042915344,0.8240000009536743,0.550000011920929,17.5049991607666,340.2380065917969,0.7210000157356262,8.435999870300293,9.690999984741211,0.09200000017881393,0.12999999523162842,0.0,3.51200008392334,3.51200008392334,8.810999870300293,0.49399998784065247,0.1860000044107437,0.09300000220537186,4.0,13.0,464.5450134277344,3373.41748046875,27.928186416625977,176.68499755859375,0.013205593451857567,545.5050048828125,5233264,938.2368489864665,108.07299837129129
14,0.09300000220537186,0.09300000220537186,0.0,-0.4580000042915344,0.550000011920929,0.5860000252723694,17.24799919128418,340.4599914550781,0.5860000252723694,8.182999610900879,9.906000137329102,0.09300000220537186,0.12999999523162842,0.0,3.3610000610351562,3.3610000610351562,9.048999786376953,0.7559999823570251,0.3310000002384186,0.12999999523162842,4.0,15.0,468.8349914550781,3371.75244140625,27.927061080932617,176.05499267578125,0.00248585338704288,545.2429809570312,5233265,938.2368486885466,72.28960974707994
15,0.0,0.0,0.0,-0.3709999918937683,0.7329999804496765,0.46399998664855957,17.386999130249023,340.36700439453125,0.5910000205039978,8.387999534606934,9.704999923706055,0.09300000220537186,0.0,0.0,3.382999897003174,3.382999897003174,8.937000274658203,0.5569999814033508,0.12999999523162842,0.0,2.0,17.0,470.42498779296875,3372.33740234375,27.92718505859375,176.4250030517578,0.013205593451857567,545.3900146484375,5233484,938.2375568953232,69.01406831080307
16,0.0,0.0,0.0,-0.3709999918937683,0.640999972820282,0.4729999899864197,17.301000595092773,340.4410095214844,0.5389999747276306,8.303999900817871,9.777000427246094,0.09200000017881393,0.0,0.0,3.3320000171661377,3.3320000171661377,9.015999794006348,0.6480000019073486,0.20499999821186066,0.0,1.0,21.0,471.7149963378906,3371.7724609375,27.92689323425293,176.19500732421875,0.013205593451857567,545.302978515625,5233884,1876.4772295380108,-24.27200537868292
17,0.0,0.0,0.0,-0.2930000126361847,0.550000011920929,0.414000004529953,17.183000564575195,340.57000732421875,0.414000004529953,8.258999824523926,9.791999816894531,0.0,0.09200000017881393,0.0,3.2039999961853027,3.2039999961853027,9.142000198364258,0.7329999804496765,0.20499999821186066,0.0,0.0,19.0,477.17498779296875,3370.66259765625,27.926143646240234,175.875,0.00248585338704288,545.18798828125,5234497,4691.201148909926,-4.045903068959724
18,0.0,0.0,0.0,-0.2930000126361847,0.550000011920929,0.414000004529953,17.183000564575195,340.57000732421875,0.414000004529953,8.258999824523926,9.791999816894531,0.0,0.09200000017881393,0.0,3.2039999961853027,3.2039999961853027,9.142000198364258,0.7329999804496765,0.20499999821186066,0.0,0.0,19.0,477.17498779296875,3370.66259765625,27.926143646240234,175.875,0.00248585338704288,545.18798828125,5234498,938.2410872920215,-2.9353978597856396
19,0.09200000017881393,0.09200000017881393,0.0,-0.2070000022649765,0.5569999814033508,0.3330000042915344,17.150999069213867,340.625,0.3330000042915344,8.29800033569336,9.736000061035156,0.09300000220537186,0.09200000017881393,0.0,3.127000093460083,3.127000093460083,9.189000129699707,0.7390000224113464,0.18299999833106995,0.09200000017881393,2.0,19.0,481.3450012207031,3370.117431640625,27.92568588256836,175.78500366210938,0.00248585338704288,545.1599731445312,5234684,938.2417914430948,-11.736041812719808
20,0.0,0.0,0.0,-0.1860000044107437,0.3779999911785126,0.46000000834465027,16.979000091552734,340.7720031738281,0.27799999713897705,8.131999969482422,9.883999824523926,0.20499999821186066,0.0,0.0,3.0280001163482666,3.0280001163482666,9.347000122070312,0.9210000038146973,0.2930000126361847,0.0,2.0,18.0,483.364990234375,3368.947509765625,27.925434112548828,175.2449951171875,0.00248585338704288,544.9849853515625,5234906,1876.4842927264042,56.70294782105961
21,0.20499999821186066,0.20499999821186066,0.0,-0.09300000220537186,0.26100000739097595,0.5389999747276306,16.774999618530273,340.9750061035156,0.1850000023841858,8.008999824523926,9.977999687194824,0.26100000739097595,0.20499999821186066,0.0,2.8570001125335693,2.8570001125335693,9.552000045776367,1.1150000095367432,0.3310000002384186,0.0,1.0,13.0,488.9949951171875,3367.1923828125,27.925060272216797,174.53500366210938,0.00248585338704288,544.7830200195312,5235279,938.2439120853903,70.38854108183021
22,0.1850000023841858,0.1850000023841858,0.0,-0.09300000220537186,0.1860000044107437,0.718999981880188,16.517000198364258,341.1960144042969,0.1850000023841858,7.764999866485596,10.204000473022461,0.1850000023841858,0.46700000762939453,0.0,2.734999895095825,2.734999895095825,9.789999961853027,1.3869999647140503,0.49900001287460327,0.09200000017881393,2.0,22.0,486.68499755859375,3364.267578125,27.923809051513672,173.9425048828125,0.0033908188343048096,544.52001953125,5235684,938.2453252683011,99.72659662120108
23,0.09300000220537186,0.09300000220537186,0.0,0.6489999890327454,0.09200000017881393,0.6159999966621399,11.637999534606934,362.906005859375,0.0,5.296999931335449,4.763000011444092,0.871999979019165,0.09300000220537186,0.0,0.12999999523162842,0.12999999523162842,26.329999923706055,7.942999839782715,0.12999999523162842,5.195000171661377,6.0,19.0,203.96249389648438,3071.419921875,27.364166259765625,101.9000015258789,0.03868575394153595,519.2680053710938,5235857,938.2460291818504,22.336990359165327
24,0.46700000762939453,0.46700000762939453,0.0,-0.3659999966621399,0.4580000042915344,0.6629999876022339,7.507999897003174,358.7130126953125,0.824999988079071,8.743000030517578,7.065999984741211,0.46700000762939453,0.6990000009536743,0.0,4.40500020980835,4.40500020980835,22.506999969482422,6.88700008392334,0.18299999833106995,2.374000072479248,3.0,17.0,317.70001220703125,3109.965087890625,27.457500457763672,118.94999694824219,0.03901715949177742,524.1170043945312,5236788,938.2495603306786,9.005456459855289
25,0.3659999966621399,0.3659999966621399,0.0,-0.4580000042915344,0.550000011920929,0.6520000100135803,7.501999855041504,358.84100341796875,0.7329999804496765,8.61400032043457,7.004000186920166,0.3659999966621399,0.5799999833106995,0.0,4.296000003814697,4.296000003814697,22.503000259399414,6.7870001792907715,0.1860000044107437,2.49399995803833,0.0,21.0,313.5,3108.824951171875,27.452499389648438,118.6500015258789,0.03901715949177742,524.0009765625,5236988,938.2502661659025,5.032926952016007
26,0.09200000017881393,0.09200000017881393,0.0,-0.09300000220537186,0.1860000044107437,1.1510000228881836,9.668999671936035,361.18798828125,0.1860000044107437,6.453000068664551,5.311999797821045,0.09300000220537186,0.09200000017881393,0.0,1.6080000400543213,1.6080000400543213,24.538000106811523,7.059999942779541,0.3330000042915344,4.171999931335449,1.0,31.0,290.42498779296875,3086.300048828125,27.375102996826172,108.30000305175781,0.04088115692138672,521.2999877929688,5237166,938.2509711603981,64.8025838828207
27,0.09300000220537186,0.09300000220537186,0.0,-0.09300000220537186,0.1860000044107437,1.0720000267028809,9.593999862670898,361.11199951171875,0.1860000044107437,6.519000053405762,5.360000133514404,0.09300000220537186,0.18299999833106995,0.0,1.687000036239624,1.687000036239624,24.469999313354492,7.039000034332275,0.2930000126361847,4.105999946594238,0.0,34.0,294.4750061035156,3086.60009765625,27.375728607177734,108.5999984741211,0.04088115692138672,521.3870239257812,5237351,938.2516782255614,28.98020345396424
28,0.13099999725818634,0.13099999725818634,0.0,-0.367000013589859,0.8240000009536743,0.46700000762939453,7.626999855041504,359.1199951171875,0.4580000042915344,8.33899974822998,6.9120001792907715,0.13099999725818634,0.28999999165534973,0.0,4.008999824523926,4.008999824523926,22.625999450683594,6.682000160217285,0.2070000022649765,2.690000057220459,2.0,14.0,309.29998779296875,3105.905029296875,27.440834045410156,117.94999694824219,0.03901715949177742,523.7109985351562,5237572,938.2523854555807,12.611884133368685
29,0.0,0.0,0.0,-0.2750000059604645,0.7910000085830688,0.41100001335144043,7.756999969482422,359.14300537109375,0.3659999966621399,8.321000099182129,6.909999847412109,0.0,0.26100000739097595,0.0,3.937000036239624,3.937000036239624,22.756000518798828,6.7729997634887695,0.28999999165534973,2.6500000953674316,2.0,19.0,313.5,3105.425048828125,27.439167022705078,117.8499984741211,0.04539821296930313,523.6530151367188,5237573,2814.755691866956,106.45240384729114
