gin,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Id,area_sqm,DIST_NEAR_MANGROVE
1,8.517999649047852,8.517999649047852,0.0,1.8819999694824219,0.2930000126361847,0.9150000214576721,36.60499954223633,114.42500305175781,-0.1860000044107437,47.30400085449219,39.31399917602539,16.457000732421875,8.517999649047852,0.0,0.5460000038146973,0.5460000038146973,17.94099998474121,57.40999984741211,0.5770000219345093,9.836000442504883,0.0,16.0,303.79998779296875,2501.4775390625,27.719831466674805,153.1999969482422,0.02870113216340542,793.7319946289062,3421764,932.1208089527267,-31.279829197686215
2,12.583000183105469,12.583000183105469,0.0,0.1850000023841858,0.2070000022649765,1.2059999704360962,40.6879997253418,116.1709976196289,-0.09300000220537186,45.0890007019043,39.801998138427734,13.581999778747559,12.583000183105469,0.0,0.9110000133514404,0.9110000133514404,16.208999633789062,60.667999267578125,0.9670000076293945,11.781999588012695,0.0,12.0,286.8399963378906,2532.465087890625,27.80522918701172,121.69999694824219,0.02807089127600193,789.822021484375,3447511,932.2036140953624,-16.941822176307046
3,12.583000183105469,12.583000183105469,0.0,0.1850000023841858,0.2070000022649765,1.2059999704360962,40.6879997253418,116.1709976196289,-0.09300000220537186,45.0890007019043,39.801998138427734,13.581999778747559,12.583000183105469,0.0,0.9110000133514404,0.9110000133514404,16.208999633789062,60.667999267578125,0.9670000076293945,11.781999588012695,0.0,12.0,286.8399963378906,2532.465087890625,27.80522918701172,121.69999694824219,0.02807089127600193,789.822021484375,3447820,3728.8135346358476,40.47780315032278
4,12.729999542236328,12.729999542236328,0.0,0.3709999918937683,0.38199999928474426,1.0199999809265137,40.8129997253418,116.11599731445312,-0.27799999713897705,44.90299987792969,39.64799880981445,13.399999618530273,12.729999542236328,0.0,0.7450000047683716,0.7450000047683716,16.024999618530273,60.70100021362305,0.7910000085830688,11.963000297546387,1.0,13.0,290.3999938964844,2534.324951171875,27.8203125,122.30000305175781,0.02807089127600193,789.7319946289062,3449014,932.2079670115629,-117.314488133815
5,9.689000129699707,9.689000129699707,0.0,0.1860000044107437,0.1860000044107437,0.5849999785423279,41.308998107910156,112.13800048828125,-0.09300000220537186,40.77399826049805,35.88199996948242,9.689000129699707,11.420000076293945,0.0,3.2769999504089355,3.2769999504089355,11.925999641418457,58.784000396728516,3.4000000953674316,16.38800048828125,2.0,18.0,297.0,2580.512451171875,27.888330459594727,178.47500610351562,1.3697319030761719,790.2630004882812,3488245,1864.6505767441597,-72.06230211691138
6,7.489999771118164,7.489999771118164,0.0,0.4909999966621399,0.45500001311302185,0.25999999046325684,38.27299880981445,115.86100006103516,-0.09099999815225601,39.19900131225586,34.183998107910156,7.489999771118164,13.666999816894531,0.0,0.18199999630451202,0.18199999630451202,10.152000427246094,63.32600021362305,0.4090000092983246,17.413000106811523,1.0,12.0,279.7825012207031,2597.550048828125,27.956249237060547,141.2100067138672,0.05327363684773445,785.7550048828125,3501794,932.3703749494241,-62.681875440579326
7,1.3819999694824219,1.3819999694824219,0.0,0.18199999630451202,0.8190000057220459,2.5360000133514404,26.849000930786133,97.4000015258789,-0.09099999815225601,36.86600112915039,21.59000015258789,2.9179999828338623,1.3819999694824219,0.0,2.0230000019073486,2.0230000019073486,2.049999952316284,45.862998962402344,12.406999588012695,4.98799991607666,2.0,14.0,307.99749755859375,2584.597412109375,27.838645935058594,173.9774932861328,0.0673341229557991,801.7979736328125,3511819,1864.8039789125141,55.566599088840576
8,0.0,0.0,0.0,0.0,0.46399998664855957,1.1710000038146973,28.952999114990234,99.7300033569336,0.09099999815225601,38.65700149536133,23.58099937438965,5.461999893188477,0.0,0.0,1.409000039100647,1.409000039100647,1.9809999465942383,48.58399963378906,13.767999649047852,7.2779998779296875,2.0,24.0,286.1025085449219,2601.429931640625,27.89031410217285,167.72250366210938,0.4532417356967926,799.1199951171875,3518635,932.4231928603631,64.27871817454185
9,0.0,0.0,0.0,0.27300000190734863,0.460999995470047,1.024999976158142,28.666000366210938,99.44200134277344,-0.18199999630451202,38.47800064086914,23.295000076293945,5.189000129699707,0.0,0.0,1.2029999494552612,1.2029999494552612,1.7050000429153442,48.36800003051758,13.937999725341797,7.146999835968018,1.0,20.0,287.32501220703125,2601.1201171875,27.90712547302246,167.48500061035156,0.24878418445587158,799.3170166015625,3519478,932.425787810328,-76.53144709338375
10,-0.09099999815225601,-0.09099999815225601,0.0,0.09300000220537186,0.6200000047683716,1.2089999914169312,28.73699951171875,99.49299621582031,0.0,38.65299987792969,23.375,5.189000129699707,-0.09099999815225601,0.0,1.3760000467300415,1.3760000467300415,1.8220000267028809,48.29600143432617,13.76200008392334,7.017000198364258,0.0,22.0,286.2724914550781,2600.469970703125,27.89406394958496,166.8524932861328,0.4532417356967926,799.4039916992188,3519735,65269.44059151332,68.3099569557939
