civ,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Id,area_sqm,DIST_NEAR_MANGROVE
1,0.9649999737739563,0.9649999737739563,457.0,0.1850000023841858,-0.09200000017881393,4.992000102996826,6.663000106811523,382.14801025390625,0.2770000100135803,2.1570000648498535,349.4599914550781,0.9649999737739563,2.4089999198913574,0.0,0.5239999890327454,0.5239999890327454,10.256999969482422,6.75,0.5839999914169312,5.331999778747559,0.0,10.0,190.5,1668.0999755859375,26.231769561767578,38.900001525878906,0.2724030613899231,173.8260040283203,8488407,945.8459477241802,-73.17958328192736
2,0.09300000220537186,0.09300000220537186,699.0,0.09300000220537186,0.6200000047683716,1.9639999866485596,2.2890000343322754,388.2430114746094,3.0959999561309814,1.3890000581741333,354.3210144042969,0.09300000220537186,0.1860000044107437,0.0,0.1860000044107437,0.1860000044107437,5.2210001945495605,3.9010000228881836,2.8269999027252197,1.4119999408721924,1.0,4.0,10.199999809265137,1674.6500244140625,26.479896545410156,1.1375000476837158,0.8525483012199402,172.58299255371094,8514416,3783.6129350468036,31.68951689291523
3,0.2619999945163727,0.2619999945163727,699.0,-0.2770000100135803,0.9160000085830688,1.593999981880188,2.490999937057495,388.6990051269531,3.1540000438690186,0.9240000247955322,354.7869873046875,0.2619999945163727,0.47099998593330383,0.0,0.2930000126361847,0.2930000126361847,5.039999961853027,3.8580000400543213,3.2980000972747803,1.2050000429153442,1.0,11.0,10.399999618530273,1675.449951171875,26.481979370117188,0.6875,0.8168538212776184,172.2740020751953,8514569,945.9039388901159,-5.032064380776308
4,0.0,0.0,699.0,0.0,0.6669999957084656,1.8990000486373901,2.2100000381469727,388.28399658203125,3.187999963760376,1.2990000247955322,354.32501220703125,0.0,0.09300000220537186,0.0,0.27799999713897705,0.27799999713897705,5.13100004196167,3.808000087738037,2.8459999561309814,1.3270000219345093,1.0,5.0,9.899999618530273,1674.550048828125,26.484272003173828,0.9624999761581421,0.8525483012199402,172.63900756835938,8514735,4729.521772541631,10.617077231008478
5,0.2919999957084656,0.2919999957084656,699.0,-0.3709999918937683,0.7850000262260437,1.465000033378601,2.486999988555908,388.822998046875,3.246999979019165,0.8309999704360962,354.88299560546875,0.2919999957084656,0.5540000200271606,0.0,0.41499999165534973,0.41499999165534973,4.929999828338623,3.7839999198913574,3.4070000648498535,1.0850000381469727,1.0,11.0,10.199999809265137,1675.77001953125,26.48639678955078,0.5174999833106995,1.099937081336975,172.2570037841797,8515193,3783.6214908915053,132.83192253325052
6,0.0,0.0,699.0,-0.09300000220537186,0.7960000038146973,1.7680000066757202,2.186000108718872,388.4070129394531,3.2679998874664307,1.2059999704360962,354.4219970703125,0.0,0.09200000017881393,0.0,0.3709999918937683,0.3709999918937683,5.020999908447266,3.7209999561309814,2.9579999446868896,1.2050000429153442,1.0,10.0,9.699999809265137,1674.6700439453125,26.488271713256836,0.7425000071525574,1.1750034093856812,172.6230010986328,8515195,945.9055776046266,59.23690482865907
7,0.0,0.0,699.0,-0.09300000220537186,0.7229999899864197,1.8370000123977661,2.132999897003174,388.3240051269531,3.2790000438690186,1.2059999704360962,354.3290100097656,0.0,0.0,0.0,0.3709999918937683,0.3709999918937683,5.039999961853027,3.7149999141693115,2.86899995803833,1.2369999885559082,1.0,9.0,9.600000381469727,1674.449951171875,26.488645553588867,0.7875000238418579,1.1750034093856812,172.6959991455078,8515536,9459.05720033103,6.417262449047279
8,0.0,0.0,2538.0,0.5619999766349792,0.09300000220537186,0.2919999957084656,0.5540000200271606,386.5260009765625,3.6070001125335693,0.0,351.5480041503906,0.0,0.5540000200271606,0.0,0.3709999918937683,0.3709999918937683,3.7839999198913574,0.5239999890327454,1.3760000467300415,0.27799999713897705,0.0,4.0,5.099999904632568,1697.5875244140625,26.41831398010254,0.0,4.693036079406738,176.0399932861328,8523985,945.928892933443,-1.1225439663450736
9,0.0,0.0,2077.0,0.8370000123977661,0.09300000220537186,0.5619999766349792,0.8309999704360962,386.2770080566406,3.5320000648498535,0.0,351.27099609375,0.0,0.2770000100135803,0.0,0.3709999918937683,0.3709999918937683,3.8469998836517334,0.38199999928474426,1.1779999732971191,0.33399999141693115,0.0,5.0,5.317500114440918,1696.094970703125,26.40999984741211,0.0,4.230717182159424,176.25999450683594,8523986,945.928893053628,76.31457460912809
10,0.0,0.0,2077.0,0.9160000085830688,0.6470000147819519,1.2970000505447388,1.5700000524520874,385.614990234375,3.434000015258789,0.0,350.5329895019531,0.0,0.0,0.0,0.2070000022649765,0.2070000022649765,4.015999794006348,0.621999979019165,0.5540000200271606,0.621999979019165,2.0,3.0,6.477499961853027,1691.5350341796875,26.389999389648438,0.0,4.564359664916992,176.84800720214844,8523989,5675.571987303171,60.579429101049875
11,0.0,0.0,2538.0,0.5619999766349792,0.09300000220537186,0.2919999957084656,0.5540000200271606,386.5260009765625,3.6070001125335693,0.0,351.5480041503906,0.0,0.5540000200271606,0.0,0.3709999918937683,0.3709999918937683,3.7839999198913574,0.5239999890327454,1.3760000467300415,0.27799999713897705,0.0,4.0,5.099999904632568,1697.5875244140625,26.41831398010254,0.0,4.693036079406738,176.0399932861328,8524121,945.9293033445202,35.8975672162934
12,0.0,0.0,2538.0,0.7450000047683716,0.09300000220537186,0.47099998593330383,0.7390000224113464,386.3599853515625,3.553999900817871,0.0,351.3630065917969,0.0,0.36899998784065247,0.0,0.3709999918937683,0.3709999918937683,3.8239998817443848,0.41499999165534973,1.2450000047683716,0.2930000126361847,0.0,3.0,5.172500133514404,1696.6650390625,26.412500381469727,0.0,4.230717182159424,176.18699645996094,8524122,945.9293031973095,107.57177382446896
