gab,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Id,area_sqm,DIST_NEAR_MANGROVE
1,0.968999981880188,0.968999981880188,0.0,6.869999885559082,1.2920000553131104,69.1760025024414,73.99500274658203,346.43701171875,0.0,8.956999778747559,510.3890075683594,0.968999981880188,7.2769999504089355,0.0,0.1860000044107437,0.1860000044107437,19.613000869750977,51.43000030517578,6.065999984741211,7.510000228881836,3.0,7.0,290.114990234375,2700.544921875,25.779022216796875,301.88250732421875,-0.027300003916025162,269.8699951171875,9120156,949.6215660883153,59.42467625023457
2,0.46399998664855957,0.46399998664855957,0.0,1.6929999589920044,0.27799999713897705,58.22999954223633,62.858001708984375,328.760009765625,-0.09300000220537186,12.565999984741211,507.4289855957031,0.46399998664855957,2.11899995803833,0.0,0.1850000023841858,0.1850000023841858,2.384999990463257,48.356998443603516,1.3179999589920044,2.365000009536743,1.0,11.0,156.1300048828125,2888.965087890625,25.86116600036621,161.97000122070312,0.09979599714279175,265.7340087890625,9120891,1899.2606990114105,109.80731931493406
3,0.5569999814033508,0.656000018119812,457.0,0.1860000044107437,0.8550000190734863,57.3650016784668,61.9739990234375,327.2309875488281,-0.09300000220537186,13.95199966430664,507.2460021972656,1.7029999494552612,0.656000018119812,0.0,0.09300000220537186,0.09300000220537186,0.9679999947547913,48.310001373291016,0.1850000023841858,0.8399999737739563,2.0,0.0,149.55499267578125,2896.52001953125,25.90833282470703,139.6999969482422,0.5357615947723389,265.5039978027344,9121063,949.6314929304327,109.46287723157873
4,0.2070000022649765,0.33500000834465027,457.0,-0.1850000023841858,1.2089999914169312,57.15299987792969,61.75699996948242,326.8489990234375,0.27799999713897705,14.303000450134277,507.20098876953125,2.0739998817443848,0.33500000834465027,0.0,0.41499999165534973,0.41499999165534973,0.6690000295639038,48.305999755859375,0.5410000085830688,0.46399998664855957,2.0,22.0,165.00250244140625,2899.357421875,25.903562545776367,139.7675018310547,0.39189064502716064,265.447998046875,9121073,1899.263065869693,94.10545610048199
5,0.2070000022649765,0.33500000834465027,457.0,-0.1850000023841858,1.2089999914169312,57.15299987792969,61.75699996948242,326.8489990234375,0.27799999713897705,14.303000450134277,507.20098876953125,2.0739998817443848,0.33500000834465027,0.0,0.41499999165534973,0.41499999165534973,0.6690000295639038,48.305999755859375,0.5410000085830688,0.46399998664855957,2.0,22.0,165.00250244140625,2899.357421875,25.903562545776367,139.7675018310547,0.39189064502716064,265.447998046875,9121087,949.6316496953037,48.0327295083801
6,0.2070000022649765,0.33500000834465027,457.0,-0.1850000023841858,1.2089999914169312,57.15299987792969,61.75699996948242,326.8489990234375,0.27799999713897705,14.303000450134277,507.20098876953125,2.0739998817443848,0.33500000834465027,0.0,0.41499999165534973,0.41499999165534973,0.6690000295639038,48.305999755859375,0.5410000085830688,0.46399998664855957,2.0,22.0,165.00250244140625,2899.357421875,25.903562545776367,139.7675018310547,0.39189064502716064,265.447998046875,9121088,949.6316509487301,48.03267020211483
7,0.656000018119812,0.6690000295639038,457.0,0.27799999713897705,0.7480000257492065,57.308998107910156,61.91999816894531,327.302001953125,0.0,13.935999870300293,507.3659973144531,1.6720000505447388,0.6690000295639038,0.0,0.13099999725818634,0.13099999725818634,1.0859999656677246,48.19900131225586,0.09300000220537186,0.9279999732971191,1.0,3.0,142.2274932861328,2898.032470703125,25.907520294189453,140.84249877929688,0.21630020439624786,265.625,9121089,2848.8949214757095,58.27093243837729
8,0.09300000220537186,0.1850000023841858,457.0,-0.1850000023841858,1.3940000534057617,57.09199905395508,61.69200134277344,326.6669921875,0.2930000126361847,14.45199966430664,507.135009765625,2.115000009536743,0.1850000023841858,0.0,0.41499999165534973,0.41499999165534973,0.49900001287460327,48.35100173950195,0.656000018119812,0.27799999713897705,1.0,11.0,174.1125030517578,2899.887451171875,25.901979446411133,139.33749389648438,0.6330392360687256,265.37701416015625,9121103,949.6317284353796,69.90742634146731
9,0.2619999945163727,0.2619999945163727,457.0,-0.1850000023841858,1.2059999704360962,57.066001892089844,61.66999816894531,326.8290100097656,0.27799999713897705,14.359000205993652,507.2869873046875,2.117000102996826,0.2619999945163727,0.0,0.46399998664855957,0.46399998664855957,0.7059999704360962,48.215999603271484,0.46399998664855957,0.46399998664855957,2.0,17.0,162.20750427246094,2900.7724609375,25.903186798095703,141.50250244140625,0.39189064502716064,265.5329895019531,9121116,949.6318087314527,-13.3976730094462
10,0.09300000220537186,0.09300000220537186,457.0,-0.09300000220537186,1.4839999675750732,56.9739990234375,61.573001861572266,326.5570068359375,0.41499999165534973,14.581000328063965,507.1889953613281,1.9850000143051147,0.09300000220537186,0.0,0.4729999899864197,0.4729999899864197,0.46399998664855957,48.28300094604492,0.656000018119812,0.1850000023841858,1.0,23.0,174.40249633789062,2901.357421875,25.90106201171875,140.7675018310547,0.6330392360687256,265.427001953125,9121124,4748.158881233776,104.88468307778162
