VillageID,area_sqm,Region,Area,Locality,Population,HRSL_POP,HRSL_DENS,Village_dens
8,36639.22262,Northern,SLRE,Gberi Mamanki,700,257.0290655,7015.134249,19105.20884
9,28181.89664,Northern,SLRE,Kafunka,386,197.71466569999998,7015.662156999999,13696.73606
2,11261.5129,Northern,Scarcies,Mahelah,200,102.5827272,9109.142627,17759.60316
3,21585.31227,Northern,Scarcies,Makumpa,270,196.6168937,9108.827858,12508.50563
10,36645.51011,Northern,SLRE,Mange,300,312.3251074,8522.875147,8186.541792
4,17834.71984,Northern,Scarcies,Moable village,500,162.4226513,9107.104166,28035.2035
14,49884.84192,Southern,Shebro ,Mosam,500,344.11088110000003,6898.105072,10023.08478
15,9416.359301999999,Southern,Shebro ,Njajeiam,180,82.43171172,8754.095831999999,19115.66819
11,8456.781311,Northern,SLRE,Robakka,300,72.07502477,8522.749037,35474.489519999996
19,51733.571039999995,Southern,Yawri Bay,Saamu,773,456.56256629999996,8825.266787,14941.94165
5,15016.3096,Northern,Scarcies,Saswaeyeh,300,136.7769695,9108.560834,19978.27748
23,29168.11895,Western Area,Yawri Bay,Singbule,400,201.2724021,6900.424485,13713.60288
21,69576.7319,Western Area,Yawri Bay,Tissana,1000,490.7011794,7052.662089,14372.621030000002
16,15066.032019999999,Southern,Shebro ,Yangasair,200,131.8907387,8754.178845,13274.89546
17,64982.51353,Southern,Shebro ,York Island,500,760.4376014,11702.18817,7694.377654000001
