gnb,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Id,area_sqm,DIST_NEAR_MANGROVE
1,2.0490000247955322,2.0490000247955322,0.0,0.906000018119812,-0.8149999976158142,0.9959999918937683,13.829999923706055,192.55599975585938,3.7049999237060547,6.676000118255615,24.090999603271484,6.579999923706055,2.0490000247955322,0.0,0.4729999899864197,0.4729999899864197,59.729000091552734,43.9630012512207,4.36299991607666,2.299999952316284,2.0,13.0,280.54998779296875,1248.95751953125,26.44854164123535,219.71749877929688,0.010231663472950459,910.4310302734375,2028666,4639.022937886377,49.726675755748886
2,1.7719999551773071,1.7719999551773071,0.0,0.3889999985694885,-0.1860000044107437,0.2930000126361847,12.206000328063965,191.18499755859375,2.119999885559082,5.11299991607666,22.474000930786133,5.085000038146973,1.7719999551773071,0.0,0.5740000009536743,0.5740000009536743,58.922000885009766,45.446998596191406,2.7839999198913574,2.2679998874664307,1.0,12.0,245.0749969482422,1254.5250244140625,26.47426986694336,207.89999389648438,-0.0028839348815381527,910.8690185546875,2037424,2783.5061804446855,132.57820635543638
3,2.5299999713897705,2.7739999294281006,0.0,0.09300000220537186,0.0,0.7639999985694885,10.907999992370605,190.3470001220703,1.2990000247955322,3.763000011444092,21.1560001373291,3.740000009536743,2.7739999294281006,0.0,0.7919999957084656,0.7919999957084656,58.694000244140625,46.45100021362305,1.875,1.75,3.0,11.0,206.25750732421875,1256.1075439453125,26.492145538330078,200.8625030517578,0.004049878101795912,911.6320190429688,2042316,1855.701526374425,-0.7063337546468001
4,2.4609999656677246,2.4609999656677246,0.0,-0.09099999815225601,0.2029999941587448,0.46399998664855957,10.96399974822998,190.16700744628906,1.0360000133514404,3.937999963760376,21.236000061035156,3.947999954223633,2.4609999656677246,0.0,0.4129999876022339,0.4129999876022339,58.36899948120117,46.56800079345703,1.6679999828338623,2.1389999389648438,1.0,14.0,219.84750366210938,1257.907470703125,26.502771377563477,203.00750732421875,0.01756584830582142,911.2490234375,2045314,1855.7219264143714,-17.81103089769067
5,1.2710000276565552,1.2710000276565552,0.0,-0.3619999885559082,0.453000009059906,0.7419999837875366,6.03000020980835,187.50799560546875,1.6720000505447388,2.562999963760376,15.362000465393066,1.4609999656677246,1.2710000276565552,0.0,0.6579999923706055,0.6579999923706055,59.2400016784668,50.70399856567383,0.878000020980835,0.09300000220537186,1.0,8.0,136.9949951171875,1255.93994140625,26.599855422973633,192.96749877929688,0.025549286976456642,916.4929809570312,2051356,6495.1608208587,86.97803338389568
6,0.09300000220537186,0.09300000220537186,0.0,-0.5740000009536743,1.0010000467300415,1.3609999418258667,6.8460001945495605,187.9600067138672,2.2039999961853027,0.6919999718666077,16.735000610351562,0.09300000220537186,0.09300000220537186,0.0,1.0199999809265137,1.0199999809265137,58.74700164794922,49.72800064086914,0.38199999928474426,0.09099999815225601,1.0,17.0,136.59750366210938,1259.2574462890625,26.562103271484375,189.0500030517578,0.09777657687664032,914.885009765625,2051981,927.8833006023385,85.80190203317902
7,-0.09099999815225601,-0.09099999815225601,0.0,-0.3319999873638153,1.2359999418258667,1.6369999647140503,7.136000156402588,188.1540069580078,2.5309998989105225,0.46000000834465027,17.076000213623047,0.09099999815225601,0.0,0.0,1.1130000352859497,1.1130000352859497,58.768001556396484,49.45500183105469,0.5379999876022339,0.0,1.0,17.0,137.05499267578125,1260.1075439453125,26.55881118774414,188.9499969482422,0.1552097350358963,914.6420288085938,2052596,90932.14700370941,180.5531166614565
8,0.0,0.0,0.0,-0.5509999990463257,1.0130000114440918,1.281000018119812,6.769999980926514,187.8719940185547,2.1389999389648438,0.6610000133514404,16.677000045776367,0.1809999942779541,0.0,0.0,0.9279999732971191,0.9279999732971191,58.65599822998047,49.80699920654297,0.2930000126361847,0.12999999523162842,1.0,15.0,136.5625,1259.4625244140625,26.56656265258789,188.85000610351562,0.09777657687664032,914.8309936523438,2052903,4639.428053008128,106.03584369565601
9,0.0,0.0,0.0,-0.7250000238418579,0.8199999928474426,1.2350000143051147,6.742000102996826,187.9080047607422,2.0820000171661377,0.8610000014305115,16.5939998626709,0.09099999815225601,0.0,0.0,1.0240000486373901,1.0240000486373901,58.78300094604492,49.82600021362305,0.46000000834465027,0.0,1.0,15.0,136.36749267578125,1258.74755859375,26.560688018798828,189.25,0.09777657687664032,915.0330200195312,2053490,68663.27301789387,300.6585543242625
10,0.1809999942779541,0.1809999942779541,0.0,-0.32899999618530273,0.4569999873638153,0.8259999752044678,6.339000225067139,187.60000610351562,1.659999966621399,1.2710000276565552,16.125999450683594,0.1809999942779541,0.1860000044107437,0.0,0.6639999747276306,0.6639999747276306,58.69300079345703,50.229000091552734,0.6639999747276306,0.1860000044107437,1.0,13.0,135.6999969482422,1258.4000244140625,26.56914710998535,189.43499755859375,0.03238297998905182,915.2960205078125,2054070,7423.104264899832,166.54150996542
