ben,bsgm_wpgp_2015_dst,guf_ghsl_dst_2014,dmsp_2011,ccilc_dst011_2015,ccilc_dst040_2015,ccilc_dst130_2015,ccilc_dst140_2015,ccilc_dst150_2015,ccilc_dst160_2015,ccilc_dst190_2015,ccilc_dst200_2015,ghsl_dst_2014,guf_dst_2012,cciwat_cls,cciwat_dst,cciwat_dst_negative,gpw4coast_dst,osmint_dst,osmriv_dst,osmroa_dst,slope,topo,tt50k_2000,wclim_prec,wclim_temp,urbanaccessibility_2015,viirs_2016,wdpa_cat1_dst_2017,Id,area_sqm,DIST_NEAR_MANGROVE
1,0.2619999945163727,0.2619999945163727,0.0,-0.09200000017881393,0.18400000035762787,0.8349999785423279,11.241999626159668,17.68000030517578,1.7510000467300415,1.2059999704360962,49.60900115966797,0.2619999945163727,1.0199999809265137,0.0,0.6539999842643738,0.6539999842643738,18.135000228881836,9.295000076293945,3.5940001010894775,4.7230000495910645,1.0,1.0,191.89999389648438,1158.3050537109375,27.32120704650879,27.229999542236328,0.13815532624721527,134.24000549316406,7217964,943.7910717436171,-25.67414630911839
2,0.0,0.0,0.0,1.121000051498413,0.5860000252723694,0.9539999961853027,8.78499984741211,17.722999572753906,0.18400000035762787,2.4210000038146973,50.000999450683594,0.0,1.569000005722046,1.0,0.0,0.0,17.545000076293945,11.593999862670898,5.949999809265137,7.793000221252441,1.0,1.0,163.9250030517578,1142.2950439453125,27.279190063476562,39.810001373291016,0.12202785164117813,137.25999450683594,7223295,943.7987090852107,50.6736186485276
3,0.09200000017881393,0.09200000017881393,1030.0,0.0,1.0549999475479126,1.5369999408721924,6.598999977111816,22.832000732421875,3.9489998817443848,0.09200000017881393,50.24800109863281,0.09300000220537186,0.09200000017881393,0.0,2.4630000591278076,2.4630000591278076,18.194000244140625,0.3799999952316284,3.736999988555908,0.36899998784065247,1.0,13.0,53.54999923706055,1173.449951171875,27.473957061767578,0.6499999761581421,1.6876859664916992,148.47799682617188,7229577,943.8073568729706,101.59799379119391
4,0.09300000220537186,0.09300000220537186,1030.0,-0.09200000017881393,0.9990000128746033,1.4600000381469727,6.547999858856201,22.768999099731445,3.934999942779541,0.18400000035762787,50.25699996948242,0.09300000220537186,0.18400000035762787,0.0,2.434000015258789,2.434000015258789,18.19700050354004,0.4699999988079071,3.6480000019073486,0.460999995470047,2.0,11.0,56.75,1172.25,27.47603988647461,0.75,1.6876859664916992,148.38600158691406,7229578,943.807356695951,8.469216295493721
5,0.13099999725818634,0.13099999725818634,1030.0,-0.18400000035762787,0.9240000247955322,1.3860000371932983,6.498000144958496,22.70599937438965,3.9230000972747803,0.2770000100135803,50.26599884033203,0.13099999725818634,0.1860000044107437,0.0,2.4070000648498535,2.4070000648498535,18.201000213623047,0.5609999895095825,3.559999942779541,0.5529999732971191,3.0,6.0,59.95000076293945,1171.050048828125,27.47812271118164,0.8500000238418579,1.6876859664916992,148.29400634765625,7229901,943.8078662068872,39.0914115298999
6,0.09200000017881393,0.09200000017881393,0.0,1.4450000524520874,0.0,2.2790000438690186,7.979000091552734,17.621999740600586,0.09200000017881393,1.8769999742507935,50.584999084472656,0.09200000017881393,0.1860000044107437,0.0,0.1860000044107437,0.1860000044107437,17.107999801635742,10.074000358581543,4.51200008392334,6.447999954223633,1.0,3.0,113.75,1137.125,27.239065170288086,27.3125,0.13834834098815918,138.71299743652344,7229902,943.8078660512579,119.47637646257611
7,0.09200000017881393,0.09200000017881393,1030.0,0.0,1.0549999475479126,1.5369999408721924,6.598999977111816,22.832000732421875,3.9489998817443848,0.09200000017881393,50.24800109863281,0.09300000220537186,0.09200000017881393,0.0,2.4630000591278076,2.4630000591278076,18.194000244140625,0.3799999952316284,3.736999988555908,0.36899998784065247,1.0,13.0,53.54999923706055,1173.449951171875,27.473957061767578,0.6499999761581421,1.6876859664916992,148.47799682617188,7230302,1887.6162377806234,105.65933469924381
8,0.09200000017881393,0.09200000017881393,1030.0,-0.18400000035762787,0.8709999918937683,1.3320000171661377,6.576000213623047,22.63800048828125,3.8310000896453857,0.2770000100135803,50.35900115966797,0.09200000017881393,0.09300000220537186,0.0,2.318000078201294,2.318000078201294,18.107999801635742,0.5529999732971191,3.5339999198913574,0.5529999732971191,2.0,8.0,59.849998474121094,1171.550048828125,27.477041244506836,0.8500000238418579,1.6876859664916992,148.29100036621094,7230680,943.8088827541134,93.15998119517747
9,0.09300000220537186,0.09300000220537186,0.0,0.09200000017881393,0.0,0.6679999828338623,11.277999877929688,16.707000732421875,1.1729999780654907,0.2070000022649765,50.60599899291992,0.09300000220537186,0.3919999897480011,0.0,1.0770000219345093,1.0770000219345093,17.076000213623047,10.364999771118164,4.159999847412109,5.1529998779296875,2.0,3.0,134.5500030517578,1161.0250244140625,27.22708511352539,39.75,0.1911095529794693,134.66000366210938,7230681,4719.042425246034,15.633260280446
10,0.09200000017881393,0.09200000017881393,1030.0,-0.18400000035762787,0.8709999918937683,1.3320000171661377,6.576000213623047,22.63800048828125,3.8310000896453857,0.2770000100135803,50.35900115966797,0.09200000017881393,0.09300000220537186,0.0,2.318000078201294,2.318000078201294,18.107999801635742,0.5529999732971191,3.5339999198913574,0.5529999732971191,2.0,8.0,59.849998474121094,1171.550048828125,27.477041244506836,0.8500000238418579,1.6876859664916992,148.29100036621094,7231048,943.8093894023723,101.0880270685217
